Mic_Peak,Charge_per_delay,Distance_from_blast_site
108.9,8.3,120
104.5,8.52,65
121.9,11.07,75
100,13.8,140
143,14.3,120
109.8,14.7,80
122,16,60
120.67,33,120
125,33.3,80
112.5,35,55
117,36.1,180
106.85,37.5,155
121,38,140
129.5,39,105
124,39.13,80
125,40,125
134.75,40.4,125
135,41.67,160
142,43.11,50
142,43.73,50
128,45,90
114,48,62.5
137.5,49,210
111.7,50,120
117,51.79,70
120,53,75
114.6,56,130
109,57,95
107.2,58.9,95
115,60,150
110.08,64,150
104.75,65,365
107.28,66,250
121.7,66.4,125
119.075,66.8,112.5
88,68,160
100,75,120
113,85.7,142.5
89.67,90,165
113,100,165
104,105,170
109.5,120,170
123,150,137.5
145.9,185,150
100,210,200
